"YTS ID","IMDb ID","Movie Title","Year","Language","Rating","Quality","YTS URL","IMDb URL","Torrent URL"
"48613","tt9114286","Black Panther: Wakanda Forever","2022","en","6.7","2160p","https://yts.mx/movies/black-panther-wakanda-forever-2022","https://www.imdb.com/title/tt9114286","https://yts.mx/torrent/download/0ADD575BDDC506C1C9653B275B52B379D894F993"
"48508","tt13103732","The Offering","2022","en","5.3","2160p","https://yts.mx/movies/the-offering-2022","https://www.imdb.com/title/tt13103732","https://yts.mx/torrent/download/19B778A66B7B6BD7636FDB58C7389899204C5D4E"
"48504","tt14826022","You People","2023","en","5.5","2160p","https://yts.mx/movies/you-people-2023","https://www.imdb.com/title/tt14826022","https://yts.mx/torrent/download/65C4BD6DB5DF76CB1D7B79B64183474922D45ADA"
"48497","tt12121582","When You Finish Saving the World","2022","en","5.6","2160p","https://yts.mx/movies/when-you-finish-saving-the-world-2022","https://www.imdb.com/title/tt12121582","https://yts.mx/torrent/download/0E3C32A68C9A0D58161832885EE6A95D3EB22801"
"48477","tt9686790","Shotgun Wedding","2022","en","5.5","2160p","https://yts.mx/movies/shotgun-wedding-2022","https://www.imdb.com/title/tt9686790","https://yts.mx/torrent/download/310897141BAF31D20CF3F3932E0CF8D1FE2D6464"
"48473","tt15486810","Teen Wolf: The Movie","2023","en","5.5","2160p","https://yts.mx/movies/teen-wolf-the-movie-2023","https://www.imdb.com/title/tt15486810","https://yts.mx/torrent/download/3B98FA223F01AA3DFF3A266086F33B736FA768D0"
"48472","tt15426740","KSI: In Real Life","2023","en","7","2160p","https://yts.mx/movies/ksi-in-real-life-2023","https://www.imdb.com/title/tt15426740","https://yts.mx/torrent/download/6E009701076E48C254A97C83EFC265F44E7F5062"
"48433","tt8760708","M3GAN","2022","en","6.3","2160p","https://yts.mx/movies/m3gan-2022","https://www.imdb.com/title/tt8760708","https://yts.mx/torrent/download/8E99CF8F8E9489D83FA88B2A278EF78C94743F9F"
"48358","tt14873054","Transfusion","2023","en","5.1","2160p","https://yts.mx/movies/transfusion-2023","https://www.imdb.com/title/tt14873054","https://yts.mx/torrent/download/34C6B0DED36C035086ABA1665DFC90BB26B6775A"
"48352","tt22352848","Jung_E","2023","ko","5.5","2160p","https://yts.mx/movies/jung_e-2023","https://www.imdb.com/title/tt22352848","https://yts.mx/torrent/download/C6E0C5926667DE95A2D7DF7DF852366A3D170DB1"
"48346","tt22394702","Detective Knight: Independence","2023","en","3.4","2160p","https://yts.mx/movies/detective-knight-independence-2023","https://www.imdb.com/title/tt22394702","https://yts.mx/torrent/download/08D1A08D6BC218BF9C6E8E05BB2F360C8495A89E"
"48332","tt19246408","The Nightingale of Bursa","2023","tr","6.8","2160p","https://yts.mx/movies/the-nightingale-of-bursa-2023","https://www.imdb.com/title/tt19246408","https://yts.mx/torrent/download/270FCBE46B84CCB620D0606D713316FCEEC83435"
"48295","tt8005118","House Party","2023","en","4.4","2160p","https://yts.mx/movies/house-party-2023","https://www.imdb.com/title/tt8005118","https://yts.mx/torrent/download/EF138646EFF08D38C367444C8DDB05B6DFCE6277"
"48289","tt16127696","There's Something Wrong with the Children","2023","en","5","2160p","https://yts.mx/movies/theres-something-wrong-with-the-children-2023","https://www.imdb.com/title/tt16127696","https://yts.mx/torrent/download/62A212BBFFEB157573D76ED467ABE1EFFB51B30C"
"48290","tt11569658","Snow Falls","2023","en","3","2160p","https://yts.mx/movies/snow-falls-2023","https://www.imdb.com/title/tt11569658","https://yts.mx/torrent/download/0219DAEB59B111507D74C5BFBBF2103057DA77F5"
"48217","tt21881264","The Flagmakers","2022","en","6.4","2160p","https://yts.mx/movies/the-flagmakers-2022","https://www.imdb.com/title/tt21881264","https://yts.mx/torrent/download/EEAAD4F6F34E9AB0075CF7E98429F159FE015F41"
"48197","tt14642626","Sick","2022","en","6","2160p","https://yts.mx/movies/sick-2022","https://www.imdb.com/title/tt14642626","https://yts.mx/torrent/download/4094472990C80768525801935F26FB0491B70A7E"
"48195","tt15334430","Dog Gone","2023","en","6.1","2160p","https://yts.mx/movies/dog-gone-2023","https://www.imdb.com/title/tt15334430","https://yts.mx/torrent/download/8CCA0B833E97E4CF2218F43F157A90E38490FDF6"
"48194","tt19758112","The Drop","2022","en","4.3","2160p","https://yts.mx/movies/the-drop-2022","https://www.imdb.com/title/tt19758112","https://yts.mx/torrent/download/0BE6FFE667F2B6AD0B509AB1B1DA3447A1BF8B4D"
"48193","tt8593824","The Old Way","2023","en","5.5","2160p","https://yts.mx/movies/the-old-way-2023","https://www.imdb.com/title/tt8593824","https://yts.mx/torrent/download/DDDCEC7D5BFA954B87F03CE8A5FF0B9711BB7E55"
"48163","tt19816018","752 Is Not a Number","2022","en","7.2","2160p","https://yts.mx/movies/752-is-not-a-number-2022","https://www.imdb.com/title/tt19816018","https://yts.mx/torrent/download/DF16D7ECF6D88AC6C99D72BD781927B2A9F1DAF1"
"48147","tt24509990","The Hatchet Wielding Hitchhiker","2023","en","6.2","2160p","https://yts.mx/movies/the-hatchet-wielding-hitchhiker-2023","https://www.imdb.com/title/tt24509990","https://yts.mx/torrent/download/50E707C335C09C665A4D387770A3B1E37F5E0577"
"48102","tt13531468","Rise","2022","fr","7.1","2160p","https://yts.mx/movies/rise-2-2022","https://www.imdb.com/title/tt13531468","https://yts.mx/torrent/download/26898D85DD9A0282DC3ABA9F63E5BADE9AF62F5A"
